"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년(남)","1학년(여)","2학년(남)","2학년(여)","3학년(남)","3학년(여)","특수학급(남)","특수학급(여)","순회학급(남)","순회학급(여)","계(남)","계(여)","총계"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000479","숙명여자고등학교","04","사립","N","","0","364","0","384","0","387","0","0","0","0","0","1135","1135"
"서울특별시교육청","서울특별시교육청","서울특별시 마포구","S010000480","숭문고등학교","04","사립","N","","144","0","162","0","192","0","0","0","0","0","498","0","498"
"서울특별시교육청","서울특별시교육청","서울특별시 은평구","S010000481","숭실고등학교","04","사립","N","","323","0","341","0","336","0","18","0","0","0","1018","0","1018"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000482","숭의여자고등학교","04","사립","N","","0","242","0","263","0","260","0","0","0","0","0","765","765"
"서울특별시교육청","서울특별시교육청","서울특별시 용산구","S010000483","신광여자고등학교","04","사립","N","","0","68","0","93","0","83","0","0","0","0","0","244","244"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000484","신림고등학교","04","공립","N","","51","105","66","77","67","102","15","6","0","0","199","290","489"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000485","신목고등학교","04","공립","N","","157","187","167","188","177","193","13","4","0","0","514","572","1086"
"서울특별시교육청","서울특별시교육청","서울특별시 강북구","S010000486","신일고등학교","04","사립","N","","350","0","342","0","343","0","0","0","0","0","1035","0","1035"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000487","양재고등학교","04","공립","N","","148","120","168","134","147","123","0","0","0","0","463","377","840"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000488","양정고등학교","04","사립","N","","346","0","337","0","345","0","0","0","0","0","1028","0","1028"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000489","양천고등학교","04","사립","N","","295","0","297","0","307","0","0","0","0","0","899","0","899"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000490","목동고등학교","04","사립","N","","0","360","0","368","0","380","0","0","0","0","0","1108","1108"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000491","언남고등학교","04","공립","N","","96","101","100","99","85","87","10","6","0","0","291","293","584"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000492","여의도고등학교","04","공립","N","","237","0","252","0","252","0","9","0","0","0","750","0","750"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000493","여의도여자고등학교","04","공립","N","","0","180","0","204","0","210","0","3","0","0","0","597","597"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000494","염광고등학교","04","사립","N","","90","97","111","125","116","143","0","0","0","0","317","365","682"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000495","영동고등학교","04","사립","N","","268","0","315","0","283","0","0","0","0","0","866","0","866"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000496","영동일고등학교","04","사립","N","","143","154","159","163","167","174","0","0","0","0","469","491","960"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000497","영등포고등학교","04","공립","N","","170","0","185","0","183","0","9","0","0","0","547","0","547"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000498","영등포여자고등학교","04","공립","N","","0","134","0","136","0","136","0","10","0","0","0","416","416"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000499","영락고등학교","04","사립","N","","68","87","75","82","66","84","0","0","0","0","209","253","462"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000500","서울영상고등학교","04","사립","N","","51","84","61","84","60","83","0","0","0","0","172","251","423"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000501","영신고등학교","04","공립","N","","106","83","108","90","125","82","18","3","0","0","357","258","615"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000502","영신여자고등학교","04","사립","N","","0","247","0","279","0","287","0","13","0","0","0","826","826"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000503","영일고등학교","04","사립","N","","259","0","307","0","284","0","0","0","0","0","850","0","850"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000504","영파여자고등학교","04","사립","N","","0","266","0","285","0","292","0","0","0","0","0","843","843"
"서울특별시교육청","서울특별시교육청","서울특별시 강북구","S010000505","영훈고등학교","04","사립","N","","151","162","162","169","178","178","0","0","0","0","491","509","1000"
"서울특별시교육청","서울특별시교육청","서울특별시 은평구","S010000506","예일여자고등학교","04","사립","N","","0","232","0","306","0","300","0","0","0","0","0","838","838"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000507","오금고등학교","04","공립","N","","125","141","139","144","136","177","0","0","0","0","400","462","862"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000508","오류고등학교","04","사립","N","","0","132","0","148","0","157","0","0","0","0","0","437","437"
"서울특별시교육청","서울특별시교육청","서울특별시 용산구","S010000509","오산고등학교","04","사립","N","","144","0","179","0","178","0","0","0","0","0","501","0","501"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000510","용문고등학교","04","사립","N","","266","0","293","0","324","0","0","0","0","0","883","0","883"
"서울특별시교육청","서울특별시교육청","서울특별시 용산구","S010000511","용산고등학교","04","공립","N","","289","0","300","0","330","0","12","0","0","0","931","0","931"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000512","용화여자고등학교","04","사립","N","","0","250","0","295","0","262","0","0","0","0","0","807","807"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000513","우신고등학교","04","사립","N","","239","0","235","0","232","0","0","0","0","0","706","0","706"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000514","은광여자고등학교","04","사립","N","","0","225","0","266","0","233","0","0","0","0","0","724","724"
"서울특별시교육청","서울특별시교육청","서울특별시 은평구","S010000515","은평메디텍고등학교","04","사립","N","","111","37","97","45","91","61","0","0","0","0","299","143","442"
"서울특별시교육청","서울특별시교육청","서울특별시 중구","S010000516","이화여자고등학교","04","사립","N","","0","384","0","364","0","379","0","0","0","0","0","1127","1127"
"서울특별시교육청","서울특별시교육청","서울특별시 서대문구","S010000517","이화여자대학교사범대학부속이화금란고등학교","04","사립","N","","86","265","121","245","127","226","0","0","0","0","334","736","1070"
"서울특별시교육청","서울특별시교육청","서울특별시 서대문구","S010000518","인창고등학교","04","사립","N","","161","0","192","0","214","0","0","0","0","0","567","0","567"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000519","인헌고등학교","04","공립","N","","59","74","67","87","83","91","0","0","0","0","209","252","461"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000521","자양고등학교","04","공립","N","","143","116","159","128","157","126","11","4","0","0","470","374","844"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000522","잠신고등학교","04","공립","N","","120","105","136","110","127","107","5","3","0","0","388","325","713"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000523","잠실고등학교","04","공립","N","","201","0","226","0","200","0","0","0","0","0","627","0","627"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000524","잠실여자고등학교","04","사립","N","","0","279","0","331","0","303","0","0","0","0","0","913","913"
"서울특별시교육청","서울특별시교육청","서울특별시 중구","S010000525","장충고등학교","04","사립","N","","117","0","144","0","129","0","0","0","0","0","390","0","390"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000526","장훈고등학교","04","사립","N","","175","0","245","0","277","0","0","0","0","0","697","0","697"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000527","재현고등학교","04","사립","N","","275","0","324","0","317","0","0","0","0","0","916","0","916"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000528","정신여자고등학교","04","사립","N","","0","298","0","332","0","356","0","0","0","0","0","986","986"
"서울특별시교육청","서울특별시교육청","서울특별시 도봉구","S010000529","정의여자고등학교","04","사립","N","","0","224","0","240","0","261","0","0","0","0","0","725","725"
"서울특별시교육청","서울특별시교육청","서울특별시 용산구","S010000530","중경고등학교","04","공립","N","","57","66","62","78","40","95","2","1","0","0","161","240","401"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000531","중동고등학교","04","사립","N","","362","0","364","0","362","0","0","0","0","0","1088","0","1088"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000532","중산고등학교","04","사립","N","","280","0","317","0","324","0","0","0","0","0","921","0","921"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000533","중앙고등학교","04","사립","N","","303","0","293","0","294","0","0","0","0","0","890","0","890"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000534","중앙대학교사범대학부속고등학교","04","사립","N","","129","182","138","193","130","189","0","0","0","0","397","564","961"
"서울특별시교육청","서울특별시교육청","서울특별시 서대문구","S010000535","중앙여자고등학교","04","사립","N","","0","142","0","176","0","170","0","0","0","0","0","488","488"
"서울특별시교육청","서울특별시교육청","서울특별시 중랑구","S010000536","중화고등학교","04","공립","N","","77","79","71","108","92","99","13","2","0","0","253","288","541"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000537","진명여자고등학교","04","사립","N","","0","408","0","420","0","427","0","0","0","0","0","1255","1255"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000538","진선여자고등학교","04","사립","N","","0","286","0","308","0","307","0","0","0","0","0","901","901"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000539","창덕여자고등학교","04","공립","N","","0","151","0","157","0","144","0","5","0","0","0","457","457"
"서울특별시교육청","서울특별시교육청","서울특별시 도봉구","S010000540","창동고등학교","04","공립","N","","180","157","218","143","213","145","14","6","0","0","625","451","1076"
"서울특별시교육청","서울특별시교육청","서울특별시 강북구","S010000541","창문여자고등학교","04","사립","N","","0","287","0","329","0","337","0","16","0","0","0","969","969"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000542","청담고등학교","04","공립","N","","71","96","69","95","62","98","6","10","0","0","208","299","507"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000543","청량고등학교","04","공립","N","","152","99","160","107","148","122","9","2","0","0","469","330","799"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000544","청원고등학교","04","사립","N","","348","0","385","0","402","0","0","0","0","0","1135","0","1135"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000545","청원여자고등학교","04","사립","N","","0","303","0","322","0","334","0","0","0","0","0","959","959"
"서울특별시교육청","서울특별시교육청","서울특별시 은평구","S010000546","충암고등학교","04","사립","N","","339","0","354","0","376","0","0","0","0","0","1069","0","1069"
"서울특별시교육청","서울특별시교육청","서울특별시 중랑구","S010000547","태릉고등학교","04","공립","N","","130","89","129","112","133","109","6","3","0","0","398","313","711"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000548","풍문고등학교","04","사립","N","","102","151","103","159","111","179","0","0","0","0","316","489","805"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000549","한가람고등학교","04","사립","N","","91","98","121","128","117","126","0","0","0","0","329","352","681"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000550","한강미디어고등학교","04","공립","N","","104","73","103","83","106","94","0","0","0","0","313","250","563"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000551","한광고등학교","04","사립","N","","45","9","55","16","49","10","0","0","0","0","149","35","184"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000552","한국삼육고등학교","04","사립","N","","89","64","78","77","82","64","0","0","0","0","249","205","454"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000554","한서고등학교","04","사립","N","","83","112","95","114","92","126","0","0","0","0","270","352","622"
"서울특별시교육청","서울특별시교육청","서울특별시 서대문구","S010000555","한성고등학교","04","사립","N","","142","0","169","0","178","0","0","0","0","0","489","0","489"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000556","한성여자고등학교","04","사립","N","","0","193","0","227","0","247","0","0","0","0","0","667","667"
