"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","금전및 유가증권건수","금전및 유가증권금액","도서및 물품건수","도서및 물품금액","수목시설및 재산건수","수목시설및 재산금액","건수합계","금액합계","학교교육시설 보수확충금액","교육용기자재 및도서금액","학교체육학예 활동금액","학생복지및 자치활동지원금액","지출금액합계"
"경상남도교육청","밀양교육지원청","경상남도 밀양시","S160001501","밀성초등학교","02","공립","N","","2","111280","1","3450000","0","0","3","3561280","0","0","5117720","398480","5516200"
"경상남도교육청","밀양교육지원청","경상남도 밀양시","S160001502","밀양초등학교","02","공립","N","","0","0","0","0","0","0","0","0","2944810","0","12912000","500000","16356810"
"경상남도교육청","밀양교육지원청","경상남도 밀양시","S160001503","밀주초등학교","02","공립","N","","9","6800000","0","0","0","0","9","6800000","0","0","4290000","3800000","8090000"
"경상남도교육청","밀양교육지원청","경상남도 밀양시","S160001508","부북초등학교","02","공립","N","","12","3701290","0","0","0","0","12","3701290","0","0","0","4600000","4600000"
"경상남도교육청","밀양교육지원청","경상남도 밀양시","S160001510","사포초등학교","02","공립","N","","12","3500000","0","0","0","0","12","3500000","0","0","0","2900000","2900000"
"경상남도교육청","밀양교육지원청","경상남도 밀양시","S160001511","산내남명초등학교","02","공립","N","","15","3200000","0","0","0","0","15","3200000","0","0","0","1800000","1800000"
"경상남도교육청","밀양교육지원청","경상남도 밀양시","S160001512","산내초등학교","02","공립","N","","8","1400000","0","0","0","0","8","1400000","0","0","0","1100000","1100000"
"경상남도교육청","밀양교육지원청","경상남도 밀양시","S160001514","산동초등학교","02","공립","N","","6","3300000","0","0","0","0","6","3300000","0","0","0","2350000","2350000"
"경상남도교육청","밀양교육지원청","경상남도 밀양시","S160001517","산외초등학교","02","공립","N","","12","5500000","0","0","0","0","12","5500000","0","0","0","5500000","5500000"
"경상남도교육청","밀양교육지원청","경상남도 밀양시","S160001518","삼랑진초등학교","02","공립","N","","8","24500000","0","0","0","0","8","24500000","12000000","0","8000000","4500000","24500000"
"경상남도교육청","밀양교육지원청","경상남도 밀양시","S160001519","상남초등학교","02","공립","N","","4","1200000","0","0","0","0","4","1200000","0","0","10","2600000","2600010"
"경상남도교육청","밀양교육지원청","경상남도 밀양시","S160001521","상동초등학교","02","공립","N","","9","2300000","0","0","0","0","9","2300000","0","0","0","2400000","2400000"
