"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교과프로그램수","교과수강학생수","특기적성프로그램수","특기적성수강학생수","프로그램수(계)","수강학생수(계)","방과후학교참여학생수","초등돌봄교실 오후돌봄운영교실수","초등돌봄교실 오후돌봄참여학생수","초등돌봄교실 저녁돌봄운영교실수","초등돌봄교실 저녁돌봄참여학생수","초등돌봄교실방과후학교 연계형돌봄운영교실수","초등돌봄교실방과후학교 연계형돌봄참여학생수","특수학교종일반 학급수","특수학교종일반 참여학생수","방과후학교 수익자부담금액","방과후학교 수익자부담외지원금액","초등돌봄교실 수익자부담금액","초등돌봄교실 수익자부담외지원금액"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000903","서울강일초등학교","02","공립","N","","0","0","0","0","0","0","0","4","68","0","0","0","0","0","0","388030370","46162050","37471000","138111000"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000904","서울거여초등학교","02","공립","N","","0","0","0","0","0","0","0","4","100","1","10","0","0","0","0","332397440","64742000","55756820","12649000"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000905","서울거원초등학교","02","공립","N","","0","0","0","0","0","0","0","3","75","1","5","1","17","0","0","225163660","26338790","34122000","2226000"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000906","서울고덕초등학교","02","공립","N","","0","0","0","0","0","0","0","2","18","1","1","0","0","0","0","94625500","19928550","12448100","4014800"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000907","서울고명초등학교","02","공립","N","","0","0","0","0","0","0","0","3","64","1","4","1","17","0","0","237458130","3302400","30823000","154379000"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000908","서울고일초등학교","02","공립","N","","0","0","0","0","0","0","0","2","50","1","11","2","43","0","0","0","0","0","0"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000909","서울길동초등학교","02","공립","N","","0","0","0","0","0","0","0","4","53","0","0","0","0","0","0","363245910","46217150","37309000","135770940"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000910","서울남천초등학교","02","공립","N","","0","0","0","0","0","0","0","1","43","0","0","0","0","0","0","139488934","58431866","22558500","72969500"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000911","서울대명초등학교","02","공립","N","","0","0","0","0","0","0","0","5","80","1","6","0","0","0","0","416959890","9350000","43360500","204793890"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000913","서울마천초등학교","02","공립","N","","0","0","0","0","0","0","0","3","64","1","10","1","19","0","0","274885250","29095500","92795300","113577550"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000914","서울명덕초등학교","02","공립","N","","0","0","0","0","0","0","0","3","73","0","0","2","30","0","0","742688800","1447850","40287000","0"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000915","서울명원초등학교","02","공립","N","","0","0","0","0","0","0","0","3","75","0","0","0","0","0","0","301959630","11154320","36781000","99529750"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000916","서울명일초등학교","02","공립","N","","0","0","0","0","0","0","0","5","125","0","0","0","0","0","0","394082680","30220000","57343000","5219000"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000917","서울묘곡초등학교","02","공립","N","","0","0","0","0","0","0","0","5","123","0","0","0","0","0","0","672494060","19437290","41695000","1615000"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000918","서울문덕초등학교","02","공립","N","","6","34","1","11","7","45","38","3","36","1","1","0","0","0","0","256676090","26541550","27436450","31163350"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000919","서울문정초등학교","02","공립","N","","0","0","0","0","0","0","0","3","55","0","0","0","0","0","0","402339240","33165860","23068670","515230"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000920","서울방산초등학교","02","공립","N","","0","0","0","0","0","0","0","3","74","1","7","0","0","0","0","291092100","13325550","0","28000000"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000921","서울방이초등학교","02","공립","N","","0","0","0","0","0","0","0","3","70","0","0","0","0","0","0","311067920","9550000","25992000","22600000"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000922","서울삼전초등학교","02","공립","N","","0","0","0","0","0","0","0","3","26","1","4","0","0","0","0","382178680","48109310","29355718","31648796"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000923","서울상일초등학교","02","공립","N","","0","0","0","0","0","0","0","2","28","0","0","0","0","0","0","103708030","10741650","16712000","18012000"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000924","서울석촌초등학교","02","공립","N","","0","0","0","0","0","0","0","4","87","1","4","0","0","0","0","291982840","31544510","35158000","1082000"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000925","서울선린초등학교","02","공립","N","","0","0","0","0","0","0","0","3","71","1","2","0","0","0","0","198039130","11732880","30772000","95764820"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000926","서울선사초등학교","02","공립","N","","0","0","0","0","0","0","0","4","98","1","8","1","10","0","0","354188500","15920610","53721000","147568000"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000927","서울성내초등학교","02","공립","N","","0","0","0","0","0","0","0","4","100","1","2","0","0","0","0","419433960","25068150","56111580","134922080"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000928","서울성일초등학교","02","공립","N","","0","0","0","0","0","0","0","5","94","0","0","0","0","0","0","491604030","0","0","0"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000929","서울세륜초등학교","02","공립","N","","0","0","0","0","0","0","0","2","19","1","1","0","0","0","0","292739860","386360","26800000","0"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000930","서울송전초등학교","02","공립","N","","9","67","34","325","43","392","229","2","35","1","3","0","0","0","0","472161840","36169510","22791000","69416730"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000931","서울송파초등학교","02","공립","N","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","405593060","28980260","44290000","134991020"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000932","서울신가초등학교","02","공립","N","","0","0","0","0","0","0","0","3","75","0","0","0","0","0","0","367777370","27613500","38972500","99895610"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000933","서울신명초등학교","02","공립","N","","0","0","0","0","0","0","0","3","75","0","0","0","0","0","0","210799180","26061190","32679000","0"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000934","서울신암초등학교","02","공립","N","","15","198","43","524","58","722","401","4","100","0","0","0","0","0","0","21743920","1815910","41957000","134351390"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000935","서울신천초등학교","02","공립","N","","0","0","0","0","0","0","0","2","13","1","5","1","5","0","0","357063030","1197000","18644000","77114000"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000936","서울아주초등학교","02","공립","N","","0","0","0","0","0","0","0","2","23","0","0","0","0","0","0","306879010","1757220","21769000","20000"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000937","서울영풍초등학교","02","공립","N","","0","0","0","0","0","0","0","4","84","0","0","0","0","0","0","238936360","27205880","42003000","0"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000938","서울오금초등학교","02","공립","N","","0","0","0","0","0","0","0","3","75","0","0","0","0","0","0","244304140","14068110","33004500","113182370"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000939","서울오륜초등학교","02","공립","N","","0","0","0","0","0","0","0","2","26","0","0","0","0","0","0","432497000","9550000","0","0"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000941","서울잠동초등학교","02","공립","N","","25","372","52","762","77","1134","477","3","75","1","6","1","7","0","0","516919000","10894000","29841000","95535840"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000942","서울잠신초등학교","02","공립","N","","0","0","0","0","0","0","0","2","42","1","7","0","0","0","0","815941270","780000","14438500","632500"
